Plant Info,Plant Genotype,m0_optimal_linear,k_optimal_linear,AIC_Linear,W0_optimal_ricker,kg_optimal_ricker,m_optimal_ricker,AIC_Ricker,P0_optimal_log,r_optimal_log,K_optimal_log,AIC_Logistic,m0_optimal_exp,k_optimal_exp,AIC_Exponential,m0_optimal_gvb,k_optimal_gvb,f_optimal_gvb,A_optimal_gvb,AIC_Gen_VB,Linear_AIC_Weight,Ricker_AIC_Weight,Logistic_AIC_Weight,Exponential_AIC_Weight,Gen_VB_AIC_Weight
22_BESC-1126_2,BESC-1126,0.04644810271456691,0.004458553882666219,-69.79296794034033,0.043243754368910474,0.0825182990879443,1.466149205058998,-56.9159274946234,0.04571754416636584,0.09560047059395844,0.21737563982974378,-69.665496391357,0.06172851475020052,0.036228770578732354,-61.50936400438134,0.04517086260094997,0.04113402124308256,0.2675976729696304,0.8329676216503261,-57.17227051484669,0.5108391818902333,0.0008167147447427651,0.47929633215664025,0.008119372396769553,0.0009283988116142026
23_BESC-1207_2,BESC-1207,0.0016727629252301396,0.0,-108.23871727284873,0.001672644831091218,1.4757242956065205e-05,1.0292864847697984,-101.02540894849224,0.0016724970003030599,8.453156235257166e-06,0.5750542279985555,-101.03135794038671,0.0016725323950976191,7.2546330026029765e-06,-108.23238304318092,0.0016617197111561894,0.010001520985603161,0.010003490400233746,0.8,-88.64837510783802,0.48750536194329885,0.013232118940017051,0.013271536418680147,0.485963818890366,2.7163807637747584e-05
24_BESC-317_2,BESC-317,0.03643217503516737,0.007592315553674034,-58.83778292368653,0.05777948955469317,0.09128488357720803,1.4690237871992577,-38.91505272915207,0.05125940942717365,0.08574448514581935,0.42182009720396174,-56.102839646009926,0.06582607420361325,0.04753740058393592,-56.96513373014635,0.04833862318796829,0.02486452003996963,0.38079040351309756,0.8375540411288922,-47.20796750364835,0.6061170365506094,2.860161768842544e-05,0.15440846453491977,0.23763799831586133,0.001807898980920926
25_GW-9919_3,GW-9919,0.13118661522558556,0.011910897353966235,-52.042131090021776,0.12160377274592737,0.07888734323877222,1.4490283238960853,-42.78796246673371,0.12543815568079558,0.09989389927924258,0.567109674974423,-51.43684510712028,0.17268755871555402,0.03503270443789354,-43.82773384428136,0.12391086985990557,0.0482932691806341,0.18336668791520205,0.8834437581393236,-39.789675878122694,0.5658397935155391,0.005535747884407303,0.4180779909581465,0.009310216680219655,0.0012362509616874703
26_BESC-1068_5,BESC-1068,0.10491984139709123,0.014809397840159968,-40.440734478405275,0.1587359755398277,0.049171981985273394,1.5,-28.686602707666573,0.13248490859095666,0.062333358157187276,1.5,-47.05540476918364,0.1455070860824473,0.04623936341041478,-57.122310952986524,0.1351760722423944,0.01,0.06495579463363188,0.987748054893116,-38.878177129278306,0.00023695755298614363,6.641914374813224e-07,0.006471842799754785,0.9931820514935158,0.0001084839623059575
27_BESC-1098_6,BESC-1098,0.32955067957075995,0.009801342862640755,-38.3331286558564,0.2620044399794303,0.11477730038990455,0.8365365722634578,-42.78607045212603,0.26368740448537115,0.1483294977775311,0.5952858857469289,-43.54243120661786,0.3549421019904186,0.0185707900461146,-35.96758491062027,0.2357724143496935,0.14381645162711693,0.027065209696230136,0.9699379507953143,-32.10580156718245,0.04141733904734171,0.38381877798240616,0.5602319453494804,0.012691439843088945,0.0018404977776829909
28_BESC-1154_6,BESC-1154,0.13181764677053207,0.00518879649581525,-50.41542348154811,0.1137006674918576,0.07335110800105915,1.004782242388012,-47.35691636764496,0.11271839141294111,0.10971049867115484,0.29322628809141055,-48.10769573535934,0.1456810503367166,0.022629097224241758,-48.04590332896711,0.11492938288009835,0.06993617612896845,0.07042487577095995,0.9271022006418661,-38.29478157096142,0.5433996331027026,0.11775326548305838,0.17139676786280833,0.16618222803613272,0.0012681055152980775
29_GW-9842_5,GW-9842,0.01828820969310169,0.0005514970511086442,-90.56592055335751,0.0177330822719449,0.037079603457147094,0.9874739576398157,-84.70163409009102,0.019220874660802308,0.02135294954497048,0.44244822479032336,-83.29563890609866,0.01927619394135904,0.019990111414751318,-89.22177205934115,0.01667875229433554,0.07056290372982728,0.1437293962859039,0.8001063597743295,-74.76237007901543,0.6286614454875511,0.03349679081565395,0.016584226714198565,0.32102487820388353,0.00023265877871277377
30_BESC-1231_1,BESC-1231,0.027979063955067482,0.0,-67.89705636648529,0.027975882877176422,0.0,1.070734679172841,-60.69706175423731,0.027975882876987213,0.0,0.5971919313639649,-60.69706175423731,0.027975882877388312,0.0,-67.89706175423731,0.027794537409409494,0.01,0.01,0.8,-48.28552934503952,0.48668777080958786,0.013298157391631656,0.013298157391631656,0.4866890818878654,2.683251928337085e-05
31_BESC-1068_4,BESC-1068,0.29406469799371077,0.023898514376944464,-45.65850193713522,0.2767150663221461,0.0616153097378447,1.5,-46.91004969521073,0.27626448128840136,0.10132026799325457,1.1373539234208172,-52.55020220884127,0.37508512058440013,0.03334543322156053,-33.6196858414389,0.2687321166555295,0.05786370462310187,0.054016019245478206,0.9647570355369361,-39.67083244828349,0.029161185032856602,0.05452244350545476,0.9147846488754625,7.089399806548696e-05,0.0014608285881607677
105_LILC-26-2_1,LILC-26-2,0.16387211199894258,0.00858732413867011,-36.11801641300611,0.12945041070293828,0.0948585071472022,1.181737114275865,-33.86599314605668,0.12941365130848728,0.14198936989977903,0.40159897310508297,-34.83071424172837,0.1904353269389183,0.026325977283402593,-33.095649338826675,0.13175577093241794,0.09301176655773691,0.021864503137169027,0.9810320141065627,-21.83133088729548,0.4828273443916367,0.15659259419900382,0.25366336138277035,0.1065352149848645,0.0003814850417245578
106_CHWK-27-4_6,CHWK-27-4,0.10910467320318465,0.01279569593862684,-42.950077898066766,0.11931316215766241,0.07239500923733078,1.5,-34.79356578536072,0.09828322575434988,0.1270348120173079,0.519721657580237,-47.98092164503855,0.15779711993995413,0.03833400037800039,-33.78854784554239,0.0934770972922381,0.06432228630796348,0.23295696418788786,0.8584414516710497,-30.320721597791604,0.07462229587321388,0.0012638761122976093,0.9232141366852628,0.0007646586977728507,0.00013503263145287506
107_GW-9842_6,GW-9842,0.05523530626554336,0.0017802000839871588,-49.37051309011178,0.041483451202486775,0.16618373595666303,0.8496693346895592,-44.36756595783572,0.05885391374086938,0.023455398031832966,0.6276452176983978,-41.50541618219782,0.05934669960996426,0.020114370174694942,-48.60995366434191,0.04164622777919293,0.15400050382393482,0.1553621876119565,0.8017371500630551,-32.360061051832126,0.5600890519313825,0.04590721187824788,0.010974203018671295,0.3829161667715689,0.0001133664001294716
109_BESC-14_4,BESC-14,0.04401076843856599,0.005606512111461814,-41.61132533266583,0.043253863508234555,0.11050281224564379,1.5,-39.48139911708765,0.021508494798497105,0.23678576800685805,0.18803512909817297,-54.017394141675425,0.07050240163520748,0.03575920030742304,-37.05635454214008,0.015876637584828025,0.13349459599418922,0.3643717540263408,0.8203889787051905,-34.30694286527111,0.002017268917853573,0.0006954344421811193,0.9970281260525068,0.0002068542542357583,5.231633322267319e-05
110_BESC-1143_8,BESC-1143,0.04258074525551527,0.009430908089318013,-39.42072265196795,0.07242753684259683,0.07677376894394208,1.5,-28.744325321994296,0.03205226998501963,0.1770757565083802,0.32609676746158034,-40.29643236152341,0.08656589876029064,0.04421557150643225,-33.73813493100075,0.029690580193528375,0.09344827183463267,0.036452503152148014,0.9851720494840988,-24.409784492765418,0.38268946874681375,0.001838638236510183,0.5929314113803459,0.02232997649585497,0.00021050514047529962
111_BESC-1170_1,BESC-1170,0.041542994672998705,0.009352512343450877,-45.95395534624366,0.07466580424842255,0.06944280970603557,1.5,-30.256235734067857,0.04399779429826045,0.13663430490688724,0.35487136234057165,-43.37584360663195,0.08151564444041079,0.046623257671417555,-38.601840739901434,0.040003361114160675,0.06930982270634946,0.01,0.9957618560944232,-29.7035974132966,0.7683208389894207,0.00029979619023691364,0.2116960533274006,0.019455894861160762,0.0002274166317808869
112_BESC-1146_3,BESC-1146,0.0383029911753915,0.013230243123619083,-43.228352204595836,0.09757932134227593,0.0702188394757086,1.5,-24.034121096889265,0.04490697317293943,0.15251195380439758,0.4731471569558238,-49.99392181800803,0.09951662568843184,0.05000105488476004,-33.842461900108994,0.03803279299637191,0.07662549928317137,0.013355204756309564,0.9950198784453469,-30.157084532151927,0.03282632480505137,2.229707707785403e-06,0.9668231424595153,0.00030067829498081405,4.7624732744667944e-05
113_BESC-45_5,BESC-45,0.20257594440328328,0.012159661807817839,-33.245760259148,0.14760848391350437,0.11077164387131307,1.3075685128621017,-39.15044051848636,0.15163249960162825,0.1614427062324995,0.5249273463899723,-41.11166269617394,0.24391062663382104,0.027837451479672228,-28.96863768578051,0.14776708818566248,0.10960859440319079,0.0360617425036256,0.9718996079339312,-27.07687831444285,0.014011149100083145,0.26832354414728515,0.7153733651988908,0.0016508529443113027,0.0006410886094296866
114_BESC-354_6,BESC-354,0.11677061081344885,0.006817914355521998,-39.36473087680079,0.07866067040644556,0.12823345290177798,1.335607885579695,-50.53621657317552,0.08154880498030564,0.18275591025053234,0.2904165087046359,-54.537429616851284,0.14087380445364256,0.026980845152313592,-35.5500254957175,0.07947441270660113,0.12667229328291008,0.01,0.9924258356341031,-38.483492533047226,0.0004465292494973101,0.11904391703803355,0.8801558531179436,6.629750178550649e-05,0.0002874030927400817
115_BESC-1017_7,BESC-1017,0.053872238064431956,0.003635282364862234,-48.4948266283713,0.037560067128729745,0.11251733724445459,1.4301165860662524,-48.921750119075654,0.03843008008442133,0.1709052511465636,0.14978603956981051,-50.17894797057045,0.06690483969324541,0.02932184433713372,-44.77601320291964,0.03748696936135314,0.10179562707533572,0.24294763957941692,0.8074853818825236,-36.58683563318823,0.21197840020668438,0.26241996203790063,0.49203263951196385,0.03301881897648698,0.000550179266964107
116_BESC-1043_8,BESC-1043,0.10766643784964625,0.004949887636691185,-45.6106312042436,0.10937901928465676,0.027682622289406933,1.5,-38.27038037153267,0.11350341551195568,0.03693373666607949,0.7376930749550283,-39.17152402066103,0.11629912794326208,0.027344800236363796,-46.59096502761068,0.11315533581102856,0.01,0.027422248093340203,0.9913221989707977,-27.187884449440524,0.37062640930880636,0.009441068439553064,0.014815011843819314,0.6050804860330316,3.7024374789689535e-05
117_BESC-1043_7,BESC-1043,0.15318131879770866,0.002711310558931416,-44.89991628736944,0.1530253000494148,0.014044605900313461,1.2444737048958259,-37.666871111657976,0.15635660544862914,0.01844184647185603,0.7147534741407374,-37.14989129052998,0.15786189111623597,0.013078430497765199,-44.074754287591105,0.12616897842597713,0.17360498939932595,0.10184778596969765,0.8001289410857847,-32.4721785858477,0.5842585185685263,0.015702516180789175,0.01212574714633398,0.38674383692435815,0.001169381179992408
118_BESC-1181_3,BESC-1181,0.1830991867938718,0.010301464055850034,-31.799418355066802,0.12490347964292856,0.12285122802011228,1.3143719991274578,-36.002957731091286,0.12897280110764808,0.1724280747023997,0.45380569208430144,-38.335685906749646,0.22021501091206222,0.02617499644773775,-28.50672449803538,0.12486390420074407,0.12245522575225785,0.01,0.9923573602110525,-23.984547011808544,0.028045958469679517,0.22943372928660033,0.7365508780350294,0.005405936004909758,0.0005634982037809875
119_BESC-1108_1,BESC-1108,0.10969235477990036,0.009866837504288017,-45.86190224491993,0.10048327693881569,0.073626745431736,1.5,-43.233181780123665,0.10031832062486,0.11773887374718937,0.42249608802692395,-42.62735256298407,0.14391080911490603,0.03487188868375228,-37.51266012895705,0.09407426972397812,0.06384510843387303,0.27249542436223306,0.8045043819164308,-32.24638773145038,0.6740492734824677,0.1810807350652168,0.13375748854487352,0.010367564726343988,0.0007449381810979329
120_BESC-284_6,BESC-284,0.06245930546315959,0.0048382256679857655,-51.714842108524294,0.06375601974028428,0.04841184678951332,1.5,-43.96567330747696,0.0641060868651858,0.07446895546944625,0.28727471072522787,-45.76852541722026,0.07588906054088541,0.03450424218211348,-49.83866268293008,0.06442862575450208,0.02612449174744063,0.2762978081749057,0.8402154540259366,-33.1915509090094,0.6833521880712061,0.01418841767175344,0.03494767803587379,0.2674467985379928,6.491768317386994e-05
121_BESC-1068_3,BESC-1068,0.24380717356653905,0.013078245296758429,-39.993701965790315,0.2147616879511704,0.06848200220347768,1.1967541439481388,-43.83032840674055,0.2175015921555138,0.10480480548167559,0.6615483206263026,-47.28150704705956,0.28120858906409685,0.027349600443226374,-33.2886638428986,0.21428482399396215,0.06132823671580159,0.2165537828691873,0.8001781580446438,-31.18126645308469,0.021693177612070656,0.14771888410478512,0.8295640783310931,0.0007591763023952156,0.0002646836496558784
122_BESC-317_8,BESC-317,0.03449187362507952,0.005756623256080289,-51.40933357800791,0.05296630911651911,0.059129273065868945,1.5,-36.93083079252879,0.05092795561512193,0.058196485287831466,0.707740322923565,-45.29441614056975,0.05476590320784919,0.045932512184057306,-50.48662949818289,0.04106438876164023,0.026362910831559686,0.3478629181904545,0.8450514212392103,-35.57613570678353,0.5957628657014183,0.00042766774517780044,0.028005025965429732,0.3755872013870346,0.00021723920093951677
123_BESC-1103_8,BESC-1103,0.0817592515552604,0.0081774195228945,-46.73974347348526,0.07595947808150055,0.08900140344902371,1.445087819393352,-38.06295503990654,0.07316175401616655,0.11928756807707429,0.3501516983185372,-47.01021908177063,0.11108750804499883,0.036373226001151254,-39.697340658365306,0.071838183087061,0.05739129364696548,0.273624527861263,0.8189076049009296,-31.280305671576166,0.4570655614828596,0.00596812390585309,0.5232527648584627,0.013512638512680215,0.00020091124014439446
124_BESC-1095_6,BESC-1095,0.1612816235641796,0.01963339616110532,-34.932866568474374,0.18402298567237288,0.06962158582750914,1.5,-25.816420778453093,0.14641272053490556,0.1244688565752884,0.8089378588644496,-35.546947796401064,0.2358507812052186,0.03902866203619578,-27.547040342717967,0.1432062257680393,0.06744893660607006,0.01520348227319983,0.9918397294347575,-19.83301545124764,0.4174838293360778,0.004375509264725265,0.5675259217330251,0.010395080844552313,0.00021965882161956564
125_BESC-1181_5,BESC-1181,0.12920343841023865,0.0036140951913324892,-39.923247936379866,0.09785828823934323,0.14143378206866997,0.8187959778871076,-39.06306889871495,0.13618825529226927,0.024585924283029807,0.7151056942376365,-31.846977618710852,0.13902163606078255,0.01738467519285303,-38.64677187062443,0.09791050040482176,0.1342581949918219,0.15131745732031876,0.8000753766776618,-26.9413125541765,0.4549961946212953,0.2959526681424765,0.008021728293556704,0.24033914320995764,0.0006902657327137973
189_GW-9842_4,GW-9842,0.03270082742050192,0.0003774883310919996,-53.61677736476197,0.03236209217717484,0.011739507368409266,1.060163133456908,-46.442707516961505,0.03373224933771195,0.008832810518268133,0.5681907115946826,-46.25736194036874,0.03379945120961643,0.008113876088951474,-53.44721922666447,0.020331448439423225,0.25714090721336147,0.13965794880416124,0.8000519164393675,-38.54638163931982,0.50705829674383,0.014035517156928903,0.012793257425449227,0.4658421820551468,0.0002707466186451214
190_BESC-1041_8,BESC-1041,0.11163276448434019,0.00678484242461505,-34.4903379086461,0.06549154205416427,0.1418112688059179,1.5,-37.84336872679531,0.06283012335359552,0.21605664862384008,0.28623986669607737,-40.95796784688641,0.13909512834791807,0.026137574839382983,-31.752065025715712,0.0641868941120779,0.1389510583611553,0.036820970430900345,0.9754414543583646,-25.805232726021494,0.03125927638466254,0.16713996672967887,0.7932442212732584,0.00795006206041169,0.00040647355198834465
191_BESC-284_3,BESC-284,0.07891455395293187,0.007144989214975842,-34.627841809368675,0.06232513454244349,0.11020188896043673,1.5,-29.43756655990886,0.04967287415825377,0.21429075420629096,0.2568327911441902,-29.435784525783383,0.1073902848637142,0.03293008359755421,-32.28971436733725,0.0479392361135936,0.11183270109672265,0.2872411385616598,0.8089106679125906,-17.727885459376196,0.6848957103432477,0.051117604787521774,0.051072078414849204,0.21276810378006886,0.00014650267431247634
192_KLNA-20-3_7,KLNA-20-3,0.0028753708894840462,0.0,-64.25401286192684,0.002874688585948914,0.0,1.111435437726031,-54.92067859130159,0.0028754136301443346,8.735434004863888e-06,0.7346691780013994,-54.91947725881692,0.002875465178565314,9.680102541129544e-06,-64.25267521797309,0.0028555773132667873,0.01000162237517827,0.010003826915722679,0.8,-36.191748176195546,0.4955073151336916,0.004659531848911835,0.004656733865836226,0.4951760197527941,3.993987662207915e-07
